threshold,precision,recall,tp,fp,fn,method,kernel_stddev
0.1849162234821454,0.4827586206896552,0.6511627906976745,28,30,15,original_BAME,NaN
0.18351858621833128,0.4915254237288136,0.6744186046511628,29,30,14,original_BAME,NaN
0.18233981270575297,0.5,0.6976744186046512,30,30,13,original_BAME,NaN
0.18216294780981643,0.5081967213114754,0.7209302325581395,31,30,12,original_BAME,NaN
0.18104869415910466,0.5,0.7209302325581395,31,31,12,original_BAME,NaN
0.17918980302004964,0.49206349206349204,0.7209302325581395,31,32,12,original_BAME,NaN
0.17776198104880425,0.484375,0.7209302325581395,31,33,12,original_BAME,NaN
0.17762798973283414,0.47692307692307695,0.7209302325581395,31,34,12,original_BAME,NaN
0.17730437921516629,0.4696969696969697,0.7209302325581395,31,35,12,original_BAME,NaN
0.17311245223435937,0.4626865671641791,0.7209302325581395,31,36,12,original_BAME,NaN
0.17281175185851672,0.45588235294117646,0.7209302325581395,31,37,12,original_BAME,NaN
0.1726855809029267,0.463768115942029,0.7441860465116279,32,37,11,original_BAME,NaN
0.1723581307131442,0.45714285714285713,0.7441860465116279,32,38,11,original_BAME,NaN
0.1718012695639643,0.4583333333333333,0.7674418604651163,33,39,10,original_BAME,NaN
0.1700747941283421,0.4520547945205479,0.7674418604651163,33,40,10,original_BAME,NaN
0.16949678980637428,0.4594594594594595,0.7906976744186046,34,40,9,original_BAME,NaN
0.1659520907352497,0.4533333333333333,0.7906976744186046,34,41,9,original_BAME,NaN
0.16466703403616295,0.4473684210526316,0.7906976744186046,34,42,9,original_BAME,NaN
0.16249987172928815,0.45454545454545453,0.813953488372093,35,42,8,original_BAME,NaN
0.15889204455445938,0.44871794871794873,0.813953488372093,35,43,8,original_BAME,NaN
0.1582533133197052,0.4430379746835443,0.813953488372093,35,44,8,original_BAME,NaN
0.15395638235635034,0.4375,0.813953488372093,35,45,8,original_BAME,NaN
0.14912984628742643,0.43209876543209874,0.813953488372093,35,46,8,original_BAME,NaN
0.13662667744933965,0.4268292682926829,0.813953488372093,35,47,8,original_BAME,NaN
0.1364076851817736,0.43373493975903615,0.8372093023255814,36,47,7,original_BAME,NaN
0.1333341443596967,0.42857142857142855,0.8372093023255814,36,48,7,original_BAME,NaN
0.1310817005962351,0.4235294117647059,0.8372093023255814,36,49,7,original_BAME,NaN
0.12907963212212906,0.43023255813953487,0.8604651162790697,37,49,6,original_BAME,NaN
0.12824127334533678,0.4367816091954023,0.8837209302325582,38,49,5,original_BAME,NaN
0.12715302748922944,0.4318181818181818,0.8837209302325582,38,50,5,original_BAME,NaN
0.11983877504171683,0.42696629213483145,0.8837209302325582,38,51,5,original_BAME,NaN
0.11297192088958374,0.4222222222222222,0.8837209302325582,38,52,5,original_BAME,NaN
0.11173094027848637,0.4175824175824176,0.8837209302325582,38,53,5,original_BAME,NaN
0.1109420559127245,0.41304347826086957,0.8837209302325582,38,54,5,original_BAME,NaN
0.11092799529635186,0.40860215053763443,0.8837209302325582,38,55,5,original_BAME,NaN
0.11037495792328358,0.40425531914893614,0.8837209302325582,38,56,5,original_BAME,NaN
0.11006169204335807,0.4,0.8837209302325582,38,57,5,original_BAME,NaN
0.10837931388182596,0.3958333333333333,0.8837209302325582,38,58,5,original_BAME,NaN
0.10151653642150846,0.3979591836734694,0.9069767441860465,39,59,4,original_BAME,NaN
0.10013091108630412,0.40404040404040403,0.9302325581395349,40,59,3,original_BAME,NaN
0.09852615679736555,0.41,0.9534883720930233,41,59,2,original_BAME,NaN
0.09606610976584795,0.40594059405940597,0.9534883720930233,41,60,2,original_BAME,NaN
0.09434465661038266,0.4019607843137255,0.9534883720930233,41,61,2,original_BAME,NaN
0.09378174716908133,0.39805825242718446,0.9534883720930233,41,62,2,original_BAME,NaN
0.09318736529125504,0.3942307692307692,0.9534883720930233,41,63,2,original_BAME,NaN
0.09285385977690808,0.3904761904761905,0.9534883720930233,41,64,2,original_BAME,NaN
0.09038596615339559,0.3867924528301887,0.9534883720930233,41,65,2,original_BAME,NaN
0.08915842028921243,0.38317757009345793,0.9534883720930233,41,66,2,original_BAME,NaN
0.08705997318189991,0.37962962962962965,0.9534883720930233,41,67,2,original_BAME,NaN
0.08683887178356584,0.3761467889908257,0.9534883720930233,41,68,2,original_BAME,NaN
0.08627918847814757,0.37272727272727274,0.9534883720930233,41,69,2,original_BAME,NaN
0.08536935440588138,0.36936936936936937,0.9534883720930233,41,70,2,original_BAME,NaN
0.08199856092508781,0.36607142857142855,0.9534883720930233,41,71,2,original_BAME,NaN
0.08119135978348668,0.36283185840707965,0.9534883720930233,41,72,2,original_BAME,NaN
0.07888660909144679,0.35964912280701755,0.9534883720930233,41,73,2,original_BAME,NaN
0.0781947336454025,0.3565217391304348,0.9534883720930233,41,74,2,original_BAME,NaN
0.0759961853223729,0.35344827586206895,0.9534883720930233,41,75,2,original_BAME,NaN
0.07461015309632113,0.358974358974359,0.9767441860465116,42,75,1,original_BAME,NaN
0.07453019260037766,0.3559322033898305,0.9767441860465116,42,76,1,original_BAME,NaN
0.07422881177335568,0.35294117647058826,0.9767441860465116,42,77,1,original_BAME,NaN
0.07392877200163023,0.35,0.9767441860465116,42,78,1,original_BAME,NaN
0.07274337448469795,0.34710743801652894,0.9767441860465116,42,79,1,original_BAME,NaN
0.07252832572179191,0.3442622950819672,0.9767441860465116,42,80,1,original_BAME,NaN
0.07158255192035104,0.34146341463414637,0.9767441860465116,42,81,1,original_BAME,NaN
0.07146468207527289,0.3387096774193548,0.9767441860465116,42,82,1,original_BAME,NaN
0.07000704417798789,0.336,0.9767441860465116,42,83,1,original_BAME,NaN
0.06961434880461247,0.3333333333333333,0.9767441860465116,42,84,1,original_BAME,NaN
0.06869754196614962,0.33070866141732286,0.9767441860465116,42,85,1,original_BAME,NaN
0.06724653878302338,0.328125,0.9767441860465116,42,86,1,original_BAME,NaN
0.06699639000846401,0.32558139534883723,0.9767441860465116,42,87,1,original_BAME,NaN
0.06520922730744252,0.3230769230769231,0.9767441860465116,42,88,1,original_BAME,NaN
0.0627869779476323,0.32061068702290074,0.9767441860465116,42,89,1,original_BAME,NaN
0.06241296143093607,0.3181818181818182,0.9767441860465116,42,90,1,original_BAME,NaN
0.060583526801331604,0.3157894736842105,0.9767441860465116,42,91,1,original_BAME,NaN
0.05963195187389377,0.3208955223880597,1.0,43,91,0,original_BAME,NaN
0.056837862356584494,0.31851851851851853,1.0,43,92,0,original_BAME,NaN
0.05580872791792037,0.3161764705882353,1.0,43,93,0,original_BAME,NaN
0.0538181997997385,0.31386861313868614,1.0,43,94,0,original_BAME,NaN
