threshold,tpr,fpr,tp,fp,fn,tn,method,kernel_stddev
0.20211631054253498,0.5581395348837209,0.12269938650306748,24,20,19,143,original_BAME,NaN
0.19920437990609868,0.5581395348837209,0.12883435582822086,24,21,19,142,original_BAME,NaN
0.1976192099719457,0.5813953488372093,0.12883435582822086,25,21,18,142,original_BAME,NaN
0.19673786679891964,0.5813953488372093,0.13496932515337423,25,22,18,141,original_BAME,NaN
0.19616589988546135,0.6046511627906976,0.13496932515337423,26,22,17,141,original_BAME,NaN
0.19563051172979976,0.627906976744186,0.13496932515337423,27,22,16,141,original_BAME,NaN
0.19367505756188244,0.627906976744186,0.1411042944785276,27,23,16,140,original_BAME,NaN
0.19266360185527087,0.627906976744186,0.147239263803681,27,24,16,139,original_BAME,NaN
0.19015639877243973,0.627906976744186,0.15337423312883436,27,25,16,138,original_BAME,NaN
0.18963537068364894,0.6511627906976745,0.15337423312883436,28,25,15,138,original_BAME,NaN
0.18863061052995456,0.6511627906976745,0.15950920245398773,28,26,15,137,original_BAME,NaN
0.1881205830114555,0.6511627906976745,0.1656441717791411,28,27,15,136,original_BAME,NaN
0.18712683713289258,0.6511627906976745,0.17177914110429449,28,28,15,135,original_BAME,NaN
0.1868773755499466,0.6511627906976745,0.17791411042944785,28,29,15,134,original_BAME,NaN
0.1849162234821454,0.6511627906976745,0.18404907975460122,28,30,15,133,original_BAME,NaN
0.18351858621833128,0.6744186046511628,0.18404907975460122,29,30,14,133,original_BAME,NaN
0.18233981270575297,0.6976744186046512,0.18404907975460122,30,30,13,133,original_BAME,NaN
0.18216294780981643,0.7209302325581395,0.18404907975460122,31,30,12,133,original_BAME,NaN
0.18104869415910466,0.7209302325581395,0.1901840490797546,31,31,12,132,original_BAME,NaN
0.17918980302004964,0.7209302325581395,0.19631901840490798,31,32,12,131,original_BAME,NaN
0.17776198104880425,0.7209302325581395,0.20245398773006135,31,33,12,130,original_BAME,NaN
0.17762798973283414,0.7209302325581395,0.2085889570552147,31,34,12,129,original_BAME,NaN
0.17730437921516629,0.7209302325581395,0.2147239263803681,31,35,12,128,original_BAME,NaN
0.17311245223435937,0.7209302325581395,0.22085889570552147,31,36,12,127,original_BAME,NaN
0.17281175185851672,0.7209302325581395,0.22699386503067484,31,37,12,126,original_BAME,NaN
0.1726855809029267,0.7441860465116279,0.22699386503067484,32,37,11,126,original_BAME,NaN
0.1723581307131442,0.7441860465116279,0.2331288343558282,32,38,11,125,original_BAME,NaN
0.1718012695639643,0.7674418604651163,0.2392638036809816,33,39,10,124,original_BAME,NaN
0.1700747941283421,0.7674418604651163,0.24539877300613497,33,40,10,123,original_BAME,NaN
0.16949678980637428,0.7906976744186046,0.24539877300613497,34,40,9,123,original_BAME,NaN
0.1659520907352497,0.7906976744186046,0.25153374233128833,34,41,9,122,original_BAME,NaN
0.16466703403616295,0.7906976744186046,0.25766871165644173,34,42,9,121,original_BAME,NaN
0.16249987172928815,0.813953488372093,0.25766871165644173,35,42,8,121,original_BAME,NaN
0.15889204455445938,0.813953488372093,0.26380368098159507,35,43,8,120,original_BAME,NaN
0.1582533133197052,0.813953488372093,0.26993865030674846,35,44,8,119,original_BAME,NaN
0.15395638235635034,0.813953488372093,0.27607361963190186,35,45,8,118,original_BAME,NaN
0.14912984628742643,0.813953488372093,0.2822085889570552,35,46,8,117,original_BAME,NaN
0.13662667744933965,0.813953488372093,0.2883435582822086,35,47,8,116,original_BAME,NaN
0.1364076851817736,0.8372093023255814,0.2883435582822086,36,47,7,116,original_BAME,NaN
0.1333341443596967,0.8372093023255814,0.294478527607362,36,48,7,115,original_BAME,NaN
0.1310817005962351,0.8372093023255814,0.3006134969325153,36,49,7,114,original_BAME,NaN
0.12907963212212906,0.8604651162790697,0.3006134969325153,37,49,6,114,original_BAME,NaN
0.12824127334533678,0.8837209302325582,0.3006134969325153,38,49,5,114,original_BAME,NaN
0.12715302748922944,0.8837209302325582,0.3067484662576687,38,50,5,113,original_BAME,NaN
0.11983877504171683,0.8837209302325582,0.3128834355828221,38,51,5,112,original_BAME,NaN
0.11297192088958374,0.8837209302325582,0.31901840490797545,38,52,5,111,original_BAME,NaN
0.11173094027848637,0.8837209302325582,0.32515337423312884,38,53,5,110,original_BAME,NaN
0.1109420559127245,0.8837209302325582,0.3312883435582822,38,54,5,109,original_BAME,NaN
0.11092799529635186,0.8837209302325582,0.3374233128834356,38,55,5,108,original_BAME,NaN
0.11037495792328358,0.8837209302325582,0.34355828220858897,38,56,5,107,original_BAME,NaN
0.11006169204335807,0.8837209302325582,0.3496932515337423,38,57,5,106,original_BAME,NaN
0.10837931388182596,0.8837209302325582,0.3558282208588957,38,58,5,105,original_BAME,NaN
0.10151653642150846,0.9069767441860465,0.3619631901840491,39,59,4,104,original_BAME,NaN
0.10013091108630412,0.9302325581395349,0.3619631901840491,40,59,3,104,original_BAME,NaN
0.09852615679736555,0.9534883720930233,0.3619631901840491,41,59,2,104,original_BAME,NaN
0.09606610976584795,0.9534883720930233,0.36809815950920244,41,60,2,103,original_BAME,NaN
0.09434465661038266,0.9534883720930233,0.37423312883435583,41,61,2,102,original_BAME,NaN
0.09378174716908133,0.9534883720930233,0.3803680981595092,41,62,2,101,original_BAME,NaN
